,Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4,mass,mass_z1,mass_z2
1280,200091,461742718,-13,1,34.6197,21.9185,-25.4082,-8.51531,-0.251117,-0.859002,13,-1,14.7022,-10.5672,10.0644,1.78511,0.122023,2.38056,-13,1,36.4346,-5.21446,8.02444,35.1552,2.01233,2.14705,13,-1,17.1385,-2.72628,3.31472,16.5921,2.06168,2.25909,92.375173,61.300977,17.899466
1281,200091,513383277,-13,1,25.223,-14.4343,20.2182,-4.36648,-0.174878,2.19081,13,-1,23.5584,23.3264,2.92368,-1.52284,-0.064732,0.124688,-13,1,21.6742,16.504,-10.7222,-9.07803,-0.446291,-0.576146,13,-1,7.93153,6.1788,-4.18516,-2.68418,-0.35234,-0.595357,69.052038,43.864961,10.088038
1283,200161,165564355,13,-1,70.0757,20.7737,38.441,54.7845,1.04996,1.07535,-13,1,47.7168,-8.54468,-33.9945,32.3766,0.826361,-1.81705,13,-1,13.8517,-4.22623,-7.69768,10.7118,1.02859,-2.07289,-13,1,7.4476,-2.07107,-4.1789,5.80543,1.0443,-2.03092,92.233082,39.180003,3.916758
1285,200161,92841727,13,-1,52.2457,-44.9955,-26.5338,0.978605,0.018733,-2.60878,-13,1,45.4934,23.7711,22.0141,-31.9366,-0.87125,0.747041,-13,1,13.9227,6.39787,-2.0846,12.1882,1.35592,-0.31498,13,-1,8.37716,3.45937,-2.48029,7.21434,1.2982,-0.622029,118.592079,42.812637,32.263591
1287,200188,20781390,13,-1,77.4904,36.9779,-16.1164,-66.1638,-1.27013,-0.411015,-13,1,30.9505,-21.462,-6.85169,-21.2216,-0.839732,-2.83257,-13,1,37.3206,-12.1506,15.4066,-31.7462,-1.25845,2.23859,13,-1,6.10369,-3.31574,4.28999,-2.80103,-0.496013,2.22879,90.469688,54.573794,13.244906
1288,200188,309219190,13,-1,267.534,37.3929,70.8584,255.256,1.87566,1.08522,-13,1,61.7703,34.379,39.843,32.3447,0.581326,0.858883,-11,1,90.7929,-64.378,-59.0553,-24.7245,-0.279365,-2.39929,11,-1,92.8272,3.50692,-46.5678,-80.2248,-1.30985,-1.49563,479.150591,91.220358,88.54636
1293,200190,365143825,-13,1,248.109,-39.4888,-58.332,-237.9,-1.93145,-2.1659,13,-1,52.6976,30.146,38.1967,-20.23,-0.404613,0.902656,13,-1,34.3331,18.5089,16.3486,-23.8516,-0.85701,0.723502,-13,1,7.79829,5.41474,5.50237,-1.09853,-0.141824,0.793425,193.019586,95.167629,5.538192
1298,200190,549407337,13,-1,20.9987,6.55317,-0.191476,-19.9488,-1.83191,-0.029211,-13,1,10.1335,-3.27818,-4.85438,-8.26835,-1.14468,-2.16475,-13,1,27.1823,-4.78614,2.84805,26.6054,2.26775,2.60481,13,-1,25.6995,-4.22815,3.50619,25.1055,2.22456,2.44927,80.447153,47.612169,30.697747
1308,200229,37968037,13,-1,239.202,87.2891,-77.9923,-208.604,-1.3417,-0.729209,13,-1,138.589,-76.2802,42.5147,-107.614,-1.03649,2.63313,-13,1,21.4128,6.02614,-20.4011,-2.445,-0.114685,-1.28358,-13,1,14.2636,8.90763,11.1396,-0.019875,-0.001393,0.896279,258.30584,70.635674,66.038014
1316,200243,26763019,-13,1,203.332,33.8209,-53.5713,-193.21,-1.83404,-1.00766,13,-1,38.9025,-19.63,16.3369,-29.3455,-0.982947,2.4475,-11,1,74.4603,-34.3525,28.0828,59.7963,1.10718,2.45628,11,-1,31.8077,8.44812,-26.6865,-15.106,-0.516398,-1.26421,297.315301,92.858378,86.941476
